"sample_id","idx1","idx2","idx3","idx4","idx5","idx6","idx7","idx8","idx9","idx10","cutree.clusters..h...2.4."
"APO-anterior-3_1",0.852083855867241,1,0.825876309748242,0.571249250670964,0.133899585698732,0.0805945273651297,0.055294596146452,0.0301619020439998,0,0.0316005165886857,1
"APO-anterior-3_2",0.881494989209416,0.738877466910916,1,0.721280993646284,0.592742891431979,0.255307473834501,0.0556556629556763,0.027531717605639,0,0.0892382428328782,1
"APO-anterior-3_3",1,0.910581490308401,0.842369230159599,0.807482170147108,0.929812778441117,0.826461949409589,0.541037503629289,0.0722271541307019,0,0.0851549916214889,2
"APO-anterior-3_4",1,0.709506589685501,0.535835665256205,0.439285269388238,0.353815402221238,0.0824430038399386,0.0332021142449959,0.0103858052503157,0.00679118471958264,0,1
"GAOX1-posterior-_0",1,0.515258416581707,0.901183166714454,0.587629358877535,0.173058249068113,0.368952530174806,0.247080647361975,0.0564174535703149,0,0.0732355031686904,1
"GAOX1-posterior-_1",0.93299407933392,0.571099296387807,0.894306186958188,1,0.0166111673139289,0.0390010669760604,0.0741267719615076,0,0.243835217205968,0.691952491233387,1
"GAOX1-posterior-_2",0.401055193695712,0.366909241936741,1,0.782297983972146,0.223232738166731,0.187030750626213,0.0883788247239164,0.0365088220610714,0,0.153855224293119,1
"GAOX1-posterior-_3",0.552640375008919,1,0.747922398717096,0.418630808971174,0.200154202129256,0.068384672997548,0.0230712013471507,0,0.118424678336247,0.160799397004796,1
"GAOX1-posterior-_4",0.277405740788738,0.410978788740312,1,0.349589545059562,0.0412940065820489,0.0205119447540468,0.0159869311826969,0.0195201154319582,0.019737877601805,0,1
"APO-medial-2_0",1,0.175014787861493,0.0821039494849729,0.0521193778401599,0.0537823704898782,0.0395676494328146,0.0331559755434046,0.0180757080521046,0,0.047288310496944,1
"APO-medial-2_1",1,0.178958056188599,0.0933771639916637,0.0644910701560244,0.0575861303096561,0.0485928776515001,0.0334287571171358,0.0181062442737666,0,0.0676662195348043,1
"APO-medial-2_2",1,0.276403417182561,0.169702899778953,0.135136860672003,0.105147918821208,0.0736345450769584,0.0483185846717922,0.0256645721171509,0,0.0103250798569073,1
"APO-medial-2_3",1,0.22312754251153,0.130394432182597,0.0909327673365663,0.0638310835632492,0.0467209601481878,0.0396139817579206,0.0256711919867228,0,0.0362607806683632,1
"APO-medial-2_4",1,0.47987843699168,0.131470718506862,0.0921308245231658,0.0847625012446479,0.0690781732017519,0.0437771290345999,0.0163291275625899,0,0.00478726272201137,1
"GAOX1-anterior-2_0",1,0.718740317253544,0.486991378314442,0.352643028767402,0.288962482671279,0.228938450385543,0.195172318401896,0.12742851579069,0.206660048416966,0,1
"GAOX1-anterior-2_1",1,0.629720020081121,0.435006247052755,0.364250438958678,0.290097074165543,0.267703239110611,0.237280445383111,0.240973381802892,0.194137878566988,0,1
"GAOX1-anterior-2_2",0.126657555666787,0.240230763859182,0.266444770032728,0.460694784661778,0.706026846499523,0.837881134314857,1,0.762186332629997,0.329986955588365,0,2
"GAOX1-anterior-2_3",0.0976422267558861,0,0.291740582042833,0.497824509215947,0.925672755033987,0.962255098229285,1,0.956323573051855,0.646647228134015,0.0314472137160947,2
"GAOX1-anterior-2_4",0,0.0987969836946459,0.336690616014308,0.341393672138628,0.749235698612613,0.913243390294111,1,0.845370265631466,0.361981217451033,0.322495791149459,2
"PFAk-GAOX1-posterior-_0",1,0.531778661644501,0.291794299685713,0.19910512912286,0.14671699257516,0.0879159099962266,0.0144467895639607,0,0.0539931022446101,0.0339125394995038,1
"PFAk-GAOX1-posterior-_1",1,0.788028002187202,0.559544230186663,0.336765208705209,0.196633177337198,0.105359602306512,0.0515928338080808,0.00761871377914125,0,0.309672391072686,1
"PFAk-GAOX1-posterior-_2",1,0.402138444783665,0.32199796576163,0.2707891560248,0.130173893803453,0.0792333328211996,0,0.0636097225870041,0.12553024121473,0.00938322270578594,1
"PFAk-GAOX1-posterior-_3",1,0.867507921189996,0.704329025879763,0.433779384169818,0.324830272964519,0.205802539149721,0.052904789037695,0.025382501209651,0,0.0940854130392486,1
"PFAk-GAOX1-posterior-_4",0.756550981299023,1,0.732425583646099,0.269082586669553,0.197602912383835,0.133403540608017,0.0582105922624601,0.0252060551646231,0.0225242083711852,0,1
"GAOX1-medial-3_0",1,0.533695547748027,0.428418927246302,0.546282563421132,0.681425861165909,0.872287595869152,0.990901717729216,0.373934640169068,0.155465464222122,0,2
